pos_X	posY	posZ	vix	viy	wi	vr	wr	Dpos_X	DposY	DposZ	rho	alpha	beta	Destination Reached
0.0	0.0	0.0	0.0	0.0	0.0	16	6.455310172678247	160	90	0	183.5755975068582	0.5123894603107377	1.5707963267948966	False
1.6	0.0	0.6455310172678247	16.0	0.0	6.455310172678247	16	1.3255074621479652	160	90	0	182.18276537587192	-0.12883587850554745	1.5707963267948966	False
2.8780486520654485	0.962596303210069	0.7780817634826213	12.780486520654483	9.625963032100689	1.3255074621479652	16	0.2559953110254698	160	90	0	180.59614296116033	-0.2625248973958594	1.5707963267948966	False
4.017666708864337	2.0856593845273763	0.8036812945851682	11.396180567988885	11.230630813173075	0.2559953110254698	16	0.03264653952835417	160	90	0	179.0514439617851	-0.29044349383299883	1.5707963267948966	False
5.128164621446521	3.237524995677658	0.8069459485380036	11.104979125821838	11.51865611150282	0.03264653952835417	16	-0.01411992333189005	160	90	0	177.51904816778796	-0.29628930169052936	1.5707963267948966	False
6.234896180268976	4.393009853521507	0.8055339562048146	11.06731558822455	11.554848578438484	-0.01411992333189005	16	-0.024059705904537765	160	90	0	175.98938580105315	-0.2975317745121103	1.5707963267948966	False
7.343258171052145	5.5469308635508625	0.8031279856143608	11.0836199078317	11.539210100293555	-0.024059705904537765	16	-0.026320955669131507	160	90	0	174.46031558035165	-0.29781443073268454	1.5707963267948966	False
8.454393251187705	6.698181849953108	0.8004958900474477	11.111350801355602	11.512509864022451	-0.026320955669131507	16	-0.026983374377855363	160	90	0	172.93138475120458	-0.297897233071275	1.5707963267948966	False
9.568554681512962	7.846504238124467	0.7977975526096621	11.141614303252581	11.483223881713597	-0.026983374377855363	16	-0.02731550189250509	160	90	0	171.4024988339011	-0.29793874901060624	1.5707963267948966	False
10.685810613252642	8.991816065965471	0.7950660024204116	11.172559317396797	11.453118278410034	-0.02731550189250509	16	-0.02758218748632668	160	90	0	169.87363838015546	-0.29797208470983394	1.5707963267948966	False
11.806190849716597	10.13407178415688	0.7923077836717789	11.203802364639559	11.422557181914085	-0.02758218748632668	16	-0.027838824634426107	160	90	0	168.34479962341823	-0.29800416435334637	1.5707963267948966	False
12.929717411528127	11.27323290748578	0.7895239012083363	11.235265618115301	11.391611233289003	-0.027838824634426107	16	-0.028097083504550646	160	90	0	166.81598208053074	-0.29803644671211194	1.5707963267948966	False
14.05641090625418	12.409261854714677	0.7867141928578812	11.26693494726054	11.360289472288951	-0.028097083504550646	16	-0.028359506779454424	160	90	0	165.28718596277923	-0.2980692496214749	1.5707963267948966	False
15.18629185948388	13.54212064182309	0.7838782421799358	11.298809532296994	11.328587871084135	-0.028359506779454424	16	-0.028626734158522904	160	90	0	163.75841163542142	-0.29810265304385847	1.5707963267948966	False
16.319380996456026	14.671770591000143	0.7810155687640835	11.330891369721453	11.296499491770533	-0.028626734158522904	16	-0.02889901173599263	160	90	0	162.22965950508703	-0.2981366877410422	1.5707963267948966	False
17.4556993051177	15.798172251776737	0.7781256675904843	11.363183086616761	11.264016607765933	-0.02889901173599263	16	-0.029176507626639037	160	90	0	160.70092999659343	-0.298171374727373	1.5707963267948966	False
18.595268053735598	16.921285365925726	0.7752080168278204	11.395687486178982	11.23113114148988	-0.029176507626639037	16	-0.029459378159651717	160	90	0	159.17222354846763	-0.29820673354399957	1.5707963267948966	False
19.738108799146406	18.041068840812216	0.7722620790118552	11.428407454108097	11.19783474886491	-0.029459378159651717	16	-0.029747781944089446	160	90	0	157.6435406123981	-0.2982427840170543	1.5707963267948966	False
20.884243393173627	19.157480723754198	0.7692873008174462	11.461345940272189	11.164118829419822	-0.029747781944089446	16	-0.0300418830463296	160	90	0	156.1148816535279	-0.2982795466548343	1.5707963267948966	False
22.033693988784265	20.270478175795464	0.7662831125128132	11.494505956106384	11.129974520412654	-0.0300418830463296	16	-0.030341851903764372	160	90	0	154.58624715094368	-0.29831704276201365	1.5707963267948966	False
23.18648304631731	21.380017444515627	0.7632489273224368	11.527890575330456	11.095392687201622	-0.030341851903764372	16	-0.030647865779753314	160	90	0	153.05763759822835	-0.29835529449651227	1.5707963267948966	False
24.342633339856867	22.486053835756167	0.7601841407444614	11.561502935395584	11.060363912405382	-0.030647865779753314	16	-0.03096010913863223	160	90	0	151.52905350404896	-0.29839432491637213	1.5707963267948966	False
25.502167963768933	23.588541684192194	0.7570881298305981	11.59534623912067	11.024878484360277	-0.03096010913863223	16	-0.03127877402123769	160	90	0	150.00049539277697	-0.2984341580266978	1.5707963267948966	False
26.665110339409576	24.687434322687558	0.7539602524284744	11.629423756406421	10.988926384953626	-0.03127877402123769	16	-0.03160406043906594	160	90	0	148.47196380514092	-0.29847481882892635	1.5707963267948966	False
27.831484222010037	25.782684050369575	0.7507998463845679	11.663738826004593	10.952497276820159	-0.03160406043906594	16	-0.031936176792204396	160	90	0	146.94345929891347	-0.29851633337306865	1.5707963267948966	False
29.001313707743883	26.87424209935629	0.7476062287053474	11.698294857338443	10.915580489867176	-0.031936176792204396	16	-0.0322753403136109	160	90	0	145.41498244963483	-0.29855872881324447	1.5707963267948966	False
30.174623240981308	27.962058600065014	0.7443786946739863	11.733095332374265	10.878165007087235	-0.0322753403136109	16	-0.03262177754186579	160	90	0	143.88653385137513	-0.29860203346677633	1.5707963267948966	False
31.351437621735773	29.046082545026326	0.7411165169197997	11.76814380754463	10.840239449613138	-0.03262177754186579	16	-0.0329757248245941	160	90	0	142.3581141175377	-0.29864627687711737	1.5707963267948966	False
